rev_yoy,prev_rev_yoy,name,symbol,est_price,prev_year,prev_eps_yoy,price,prev_eps,date,expansion,eps,pe,eps_yoy,status,om,gm,advice
156.04,1.24,禾瑞亞,3556.TWO,81.9,2025,-5.7,61.0,2.15,2026-03,34.20000000000002,1.19,11.172161172161172,190.24,🏰 高護城河,14.95%,50.66%,💎 強力關注
10.24,19.28,神數,7821.TW,0.0,2025,91.67,40.3499984741,2.99,2026-03,32.379999999999995,0.87,0.0,42.62,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
6.33,15.19,未知,2072.TWO,0.0,2025,-17.2,0.0,7.56,2025-12,28.590000000000003,11.94,0.0,34.92,🚀 利潤擴張,30.89%,35.24%,⚪ 數據不足
-3.86,-5.58,向榮生技,6794.TW,-70.05,2025,-13.21,76.8000030518,-1.89,2026-03,27.259999999999998,-0.36,0.0,23.4,🧐 疑業外收益,N/A,N/A,⚪ 數據不足
422.96,2.23,南緯,1467.TW,-28.950000000000003,2025,-197.83,9.5699996948,-0.45,2026-03,27.04000000000002,0.11,0.0,450.0,🔄 轉虧為盈,1.90%,23.39%,⚪ 數據不足
16.63,3.08,頌勝科技,7768.TW,0.0,2025,-27.83,298.0,3.24,2026-03,26.23,1.62,0.0,42.86,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
16.63,3.08,未知,7768.TWO,0.0,2025,-27.83,0.0,3.24,2026-03,26.23,1.62,0.0,42.86,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
12.42,20.5,大東電,1623.TW,0.0,2025,11.37,0.0,13.61,2026-03,25.689999999999998,4.33,0.0,38.11,🚀 利潤擴張,16.93%,21.29%,⚪ 數據不足
62.36,6.4,元大金,2885.TW,105.6,2025,-1.08,62.9000015259,2.74,2026-03,20.689999999999998,1.08,8.93465930765625,83.05,🏰 高護城河,33.03%,80.00%,💎 強力關注
25.49,0.36,中連,5604.TWO,33.45,2025,-66.0,30.3999996185,0.85,2026-03,19.960000000000004,0.32,13.632286824439463,45.45,🚀 利潤擴張,N/A,N/A,✅ 穩健價值
451.29,0.56,宏遠證,6015.TWO,24.599999999999998,2025,-11.63,16.0,0.76,2026-03,19.539999999999964,0.89,9.75609756097561,470.83,🚀 利潤擴張,N/A,N/A,💎 強力關注
26.81,-8.35,力新,5202.TWO,-30.900000000000002,2025,-134.86,12.8999996185,-0.61,2026-03,18.900000000000002,-0.19,0.0,45.71,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
22.97,4.06,華南金,2880.TW,70.8,2025,13.1,39.9000015259,1.9,2026-03,18.060000000000002,0.55,8.453390153792373,41.03,🏰 高護城河,45.93%,97.25%,💎 強力關注
216.8,13.9,博磊,3581.TWO,9.75,2025,35.0,110.5,0.81,2026-03,17.97999999999999,0.31,170.0,234.78,🚀 利潤擴張,8.13%,31.93%,⚠️ 追價風險
