om,eps_yoy,eps,name,price,advice,symbol,gm,prev_eps,prev_rev_yoy,prev_year,rev_yoy,status,date,pe,expansion,est_price,prev_eps_yoy
17.13%,108.09,2.83,國建,22.6499996185,💎 強力關注,2501.TW,26.51%,1.91,7.39,2025,1.8,🚀 利潤擴張,2025-12,3.600953834419714,106.29,94.35,127.38
N/A,168.25,0.86,威潤,45.5999984741,⚪ 數據不足,6465.TWO,N/A,-0.75,5.09,2025,63.6,🔄 轉虧為盈,2025-12,0.0,104.65,-14.549999999999999,29.25
16.62%,143.64,6.33,凌航,194.5,⚠️ 追價風險,3135.TW,19.12%,1.5,34.74,2025,39.88,🚀 利潤擴張,2025-12,22.254004576659042,103.75999999999999,131.09999999999997,-29.03
N/A,164.15,2.63,撼訊,66.8000030518,✅ 穩健價值,6150.TWO,N/A,1.55,77.79,2025,61.2,🚀 利潤擴張,2025-12,12.556391551090227,102.95,79.8,156.36
2.26%,107.41,0.43,麗臺,86.9000015259,⚠️ 追價風險,2465.TW,10.44%,0.09,32.51,2025,5.42,🚀 利潤擴張,2025-12,67.89062619210937,101.99,19.2,102.43
-1.48%,100.0,0.54,誠品生活,37.0,⚠️ 追價風險,2926.TWO,40.82%,0.34,2.58,2025,1.84,🚀 利潤擴張,2025-12,29.133858267716533,98.16,19.05,241.67
7.07%,118.87,2.32,錩泰,22.9500007629,💎 強力關注,1541.TW,19.55%,1.32,28.08,2025,21.45,🚀 利潤擴張,2025-12,5.239726201575342,97.42,65.7,41.94
0.24%,110.31,0.72,虹光,5.8699998856,💎 強力關注,2380.TW,24.41%,0.47,9.38,2025,13.61,🚀 利潤擴張,2025-12,3.0257731369072167,96.7,29.099999999999998,133.57
N/A,146.97,1.65,IET-KY,723.0,⚪ 數據不足,4971.TWO,N/A,0.09,54.63,2025,50.49,🚀 利潤擴張,2025-12,0.0,96.47999999999999,-7.0500000000000025,103.17
N/A,104.43,0.16,雙喜,10.8999996185,⚪ 數據不足,5516.TWO,N/A,0.34,7.31,2025,8.41,🚀 利潤擴張,2025-12,0.0,96.02000000000001,-7.35,116.43
-9.15%,134.04,0.16,上詮,853.0,⚠️ 追價風險,3363.TWO,12.43%,0.37,49.52,2025,38.72,🚀 利潤擴張,2025-12,1201.4084507042253,95.32,10.65,317.65
