name,prev_eps_yoy,eps,advice,prev_year,price,est_price,pe,status,expansion,gm,eps_yoy,om,rev_yoy,prev_rev_yoy,prev_eps,date,symbol
博磊,35.0,0.31,⚠️ 追價風險,2025,100.5,9.75,154.6153846153846,🚀 利潤擴張,17.97999999999999,31.93%,234.78,8.13%,216.8,13.9,0.81,2026-03,3581.TWO
高雄銀,28.3,0.2,💎 強力關注,2025,12.1999998093,25.200000000000003,7.261904648392856,🏰 高護城河,17.229999999999997,89.95%,33.33,32.37%,16.1,14.52,0.68,2026-03,2836.TW
環宇-KY,107.11,1.67,⚠️ 追價風險,2025,488.0,11.999999999999998,610.0,🚀 利潤擴張,15.160000000000025,N/A,331.43,N/A,316.27,25.43,0.15,2026-03,4991.TWO
精誠金融,14.12,0.42,⚪ 數據不足,2025,34.1500015259,0.0,0.0,🧐 疑業外收益,12.35,N/A,10.53,N/A,-1.82,10.14,2.91,2026-03,7819.TWO
凱基金,-10.99,0.69,💎 強力關注,2025,37.2000007629,57.14999999999999,9.763779727795276,🏰 高護城河,12.0,78.38%,34.04,39.14%,22.04,-12.26,1.74,2026-03,2883.TW
華安,-14.12,-0.53,⚪ 數據不足,2025,37.2999992371,-109.2,0.0,🚀 利潤擴張,10.350000000000001,N/A,52.29,N/A,41.94,-0.97,-2.92,2026-03,6657.TW
力旺,4.19,7.98,⚠️ 追價風險,2025,2730.0,947.7,43.20987654320988,🏰 高護城河,9.14,100.00%,29.13,60.64%,19.99,6.74,25.6,2026-03,3529.TWO
宏亞,-53.57,0.23,⚪ 數據不足,2025,26.2000007629,-14.25,0.0,🔄 轉虧為盈,8.629999999999995,24.77%,283.33,-4.59%,274.7,-8.31,-0.43,2026-03,1236.TW
岱宇,-827.91,0.25,⚪ 數據不足,2025,20.8500003815,-89.10000000000001,0.0,🔄 轉虧為盈,7.890000000000015,27.77%,153.49,-13.99%,145.6,-15.19,-3.35,2026-03,1598.TW
全景軟體,24.93,0.39,✅ 穩健價值,2025,62.9000015259,136.05,6.934950554123484,🚀 利潤擴張,7.82,N/A,56.0,N/A,48.18,15.86,4.66,2026-03,8272.TWO
欣欣,-7.32,0.11,⚠️ 追價風險,2025,23.5,13.5,26.11111111111111,🏰 高護城河,7.48,84.77%,37.5,20.24%,30.02,-2.15,0.38,2026-03,2901.TW
未知,14.95,-0.19,⚪ 數據不足,2025,0.0,0.0,0.0,🌑 雙重衰退,5.7299999999999995,N/A,-5.56,N/A,-11.29,-3.6,-0.92,2026-03,4178.TWO
永笙-KY,14.95,-0.19,⚪ 數據不足,2025,16.7999992371,0.0,0.0,🌑 雙重衰退,5.7299999999999995,N/A,-5.56,N/A,-11.29,-3.6,-0.92,2026-03,4178.TW
詩肯,-38.13,1.5,✅ 穩健價值,2025,27.6499996185,63.6,6.521226325117924,🚀 利潤擴張,5.1200000000000045,N/A,114.29,N/A,109.17,-3.57,0.99,2026-03,6195.TWO
兆豐金,0.85,0.63,✅ 穩健價值,2025,49.9000015259,91.94999999999999,8.140293886769985,🏰 高護城河,4.100000000000001,83.45%,16.67,33.61%,12.57,-1.77,2.36,2026-03,2886.TW
聯傑,41.18,0.07,⚠️ 追價風險,2025,41.9000015259,7.35,85.51020719571429,🏰 高護城河,3.8000000000000025,73.82%,16.67,-7.29%,12.87,13.2,0.25,2026-03,3094.TW
亞電,-326.32,0.24,⚪ 數據不足,2025,82.4000015259,-22.2,0.0,🔄 轉虧為盈,3.490000000000009,N/A,300.0,N/A,296.51,-8.05,-0.43,2026-03,4939.TWO
達人網,18.52,0.73,⚪ 數據不足,2025,43.9500007629,0.0,0.0,🚀 利潤擴張,3.3499999999999996,N/A,5.8,N/A,2.45,8.14,2.56,2026-03,7839.TWO
