symbol,name,price,pe,est_price,date,eps,eps_yoy,rev_yoy,expansion,status,advice
6706.TW,惠特,127.5,0.0,-168.45000000000002,2025-12,-3.92,2.97,-3.41,6.380000000000001,🧐 疑業外收益,⚪ 數據不足
6703.TWO,軒郁,118.5,5.425824175824175,327.6,2025-12,9.9,-2.0,-8.29,6.289999999999999,🌑 雙重衰退,✅ 穩健價值
4532.TW,瑞智,24.4500007629,4.478022117747254,81.89999999999999,2025-12,2.05,0.5,-5.76,6.26,🧐 疑業外收益,✅ 穩健價值
6415.TW,矽力*-KY,282.0,19.859154929577464,213.00000000000003,2025-12,6.4,8.14,1.94,6.200000000000001,🚀 利潤擴張,⚪ 中性觀察
5534.TW,長虹,84.0999984741,8.351539073892752,151.04999999999998,2025-12,6.0,-23.57,-29.66,6.09,🌑 雙重衰退,✅ 穩健價值
3005.TW,神基,100.5,4.7834364588291285,315.15000000000003,2025-12,8.43,16.67,10.6,6.070000000000002,🚀 利潤擴張,✅ 穩健價值
5601.TWO,台聯櫃,36.0499992371,34.33333260676191,15.75,2025-12,0.42,7.69,1.81,5.880000000000001,🚀 利潤擴張,⚠️ 追價風險
1337.TW,再生-KY,5.6199998856,0.0,-62.85000000000001,2025-12,-1.74,-12.99,-18.82,5.83,🌑 雙重衰退,⚪ 數據不足
1712.TW,興農,43.0499992371,6.167621667206305,104.69999999999999,2025-12,2.6,4.0,-1.68,5.68,🧐 疑業外收益,✅ 穩健價值
6122.TWO,擎邦,51.0,4.407951598962835,173.55,2025-12,4.78,7.03,1.36,5.67,🚀 利潤擴張,✅ 穩健價值
2617.TW,台航,0.0,0.0,0.0,2025-12,3.18,3.25,-2.28,5.529999999999999,🧐 疑業外收益,⚪ 數據不足
6761.TWO,穩得,182.5,9.934676102340772,275.55,2025-12,7.34,2.89,-2.32,5.21,🧐 疑業外收益,✅ 穩健價值
6005.TW,群益證,28.2999992371,4.845890280325342,87.6,2025-12,2.64,17.33,12.14,5.189999999999998,🚀 利潤擴張,✅ 穩健價值
2801.TW,彰銀,21.0,5.4404145077720205,57.900000000000006,2025-12,1.51,13.53,8.35,5.18,🚀 利潤擴張,✅ 穩健價值
2317.TW,鴻海,200.0,6.015037593984962,498.75,2025-12,13.61,23.02,18.13,4.890000000000001,🚀 利潤擴張,✅ 穩健價值
3045.TW,台灣大,110.0,9.345794392523365,176.54999999999998,2025-12,4.77,4.58,-0.31,4.89,🧐 疑業外收益,✅ 穩健價值
4966.TWO,譜瑞-KY,501.0,5.703551912568305,1317.6000000000001,2025-12,34.51,6.64,1.76,4.88,🚀 利潤擴張,✅ 穩健價值
6290.TWO,良維,217.5,10.30317385125533,316.65,2025-12,8.73,31.08,26.34,4.739999999999998,🚀 利潤擴張,✅ 穩健價值
6515.TW,穎崴,7995.0,66.34304207119742,1807.6499999999999,2025-12,46.93,40.24,35.51,4.730000000000004,🚀 利潤擴張,⚠️ 追價風險
1538.TW,正峰,12.75,0.0,-31.050000000000004,2025-12,-1.59,6.47,1.9,4.57,🚀 利潤擴張,⚪ 數據不足
3492.TWO,長盛,24.0,4.828973843058351,74.55,2025-12,1.77,9.26,4.69,4.569999999999999,🚀 利潤擴張,✅ 穩健價值
3171.TWO,炎洲流通,69.3000030518,6.881827512591857,151.05,2025-12,4.3,36.94,32.43,4.509999999999998,🚀 利潤擴張,✅ 穩健價值
4749.TWO,新應材,877.0,31.9373634377276,411.90000000000003,2025-12,11.33,32.78,28.3,4.48,🚀 利潤擴張,⚠️ 追價風險
2838.TW,聯邦銀,21.0,7.023411371237458,44.85,2025-12,1.29,8.94,4.5,4.4399999999999995,🚀 利潤擴張,✅ 穩健價值
1442.TW,名軒,26.3999996185,2.9796839298532736,132.89999999999998,2025-12,3.03,-57.74,-62.17,4.43,🌑 雙重衰退,✅ 穩健價值
4571.TW,鈞興-KY,153.0,6.191825171995144,370.65,2025-12,9.61,4.45,0.1,4.3500000000000005,🚀 利潤擴張,✅ 穩健價值
3037.TW,欣興,625.0,81.59268929503918,114.89999999999999,2025-12,4.38,18.07,13.75,4.32,🚀 利潤擴張,⚠️ 追價風險
