prev_eps_yoy,om,expansion,symbol,status,price,name,prev_eps,rev_yoy,eps_yoy,est_price,eps,prev_year,pe,gm,advice,date,prev_rev_yoy
-255.07,12.45%,-866.69,3535.TW,🔄 轉虧為盈,0.0,晶彩科,-1.07,1172.94,306.25,0.0,0.99,2025,0.0,35.79%,⚪ 數據不足,2026-03,-31.12
-275.59,N/A,-868.8,8171.TWO,⚠️ 獲利稀釋,0.0,天宇,-5.17,959.14,90.34,0.0,-0.2,2025,0.0,N/A,⚪ 數據不足,2026-03,-66.93
-29.4,5.75%,-873.74,3147.TWO,⚠️ 獲利稀釋,0.0,大綜,8.43,877.13,3.39,0.0,3.66,2025,0.0,13.87%,⚪ 數據不足,2026-03,64.32
-128.03,-10.66%,-874.6500000000001,1441.TW,📉 獲利侵蝕,0.0,大東,-0.45,663.94,-210.71,0.0,-0.62,2025,0.0,-0.79%,⚪ 數據不足,2026-03,-6.83
-272.92,N/A,-876.63,4999.TW,📉 獲利侵蝕,0.0,鑫禾,-1.68,623.3,-253.33,0.0,-0.54,2025,0.0,N/A,⚪ 數據不足,2026-03,-0.19
57.14,N/A,-880.8199999999999,6588.TWO,⚠️ 獲利稀釋,0.0,東典光電,-1.77,969.39,88.57,0.0,-0.08,2025,0.0,N/A,⚪ 數據不足,2026-03,27.54
-15.66,-5.35%,-885.46,3322.TWO,📉 獲利侵蝕,0.0,建舜電,-0.96,635.46,-250.0,0.0,-0.64,2025,0.0,12.86%,⚪ 數據不足,2026-03,6.3
48.0,N/A,-885.47,8463.TW,⚠️ 獲利稀釋,0.0,潤泰材,1.85,1065.47,180.0,0.0,0.42,2025,0.0,N/A,⚪ 數據不足,2026-03,8.31
6.89,2.34%,-889.79,2949.TWO,📉 獲利侵蝕,0.0,欣新網,3.63,861.36,-28.43,0.0,0.74,2025,0.0,11.53%,⚪ 數據不足,2026-03,21.07
1.86,N/A,-892.9699999999999,8032.TWO,⚠️ 獲利稀釋,0.0,光菱,2.19,984.81,91.84,0.0,0.94,2025,0.0,N/A,⚪ 數據不足,2026-03,25.77
48.0,N/A,-893.91,6142.TW,📉 獲利侵蝕,0.0,友勁,-0.26,633.91,-260.0,0.0,-0.18,2025,0.0,N/A,⚪ 數據不足,2026-03,52.32
-37.72,N/A,-894.01,8054.TWO,⚠️ 獲利稀釋,0.0,安國,-3.19,992.49,98.48,0.0,-0.01,2025,0.0,N/A,⚪ 數據不足,2026-03,30.97
81.45,N/A,-897.18,3188.TWO,⚠️ 獲利稀釋,0.0,鑫龍騰,4.05,1815.36,918.18,0.0,2.24,2025,0.0,N/A,⚪ 數據不足,2026-03,79.14
49.25,2.16%,-899.3100000000001,2630.TW,📉 獲利侵蝕,0.0,亞航,1.0,863.6,-35.71,0.0,0.09,2025,0.0,8.38%,⚪ 數據不足,2026-03,4.89
