gm,symbol,om,est_price,prev_eps,expansion,prev_eps_yoy,prev_rev_yoy,name,status,eps_yoy,pe,advice,date,eps,price,prev_year,rev_yoy
N/A,4967.TW,N/A,279.75000000000006,3.47,107.85000000000001,-46.86,-15.55,十銓,🚀 利潤擴張,110.31,14.28954423592493,✅ 穩健價值,2025-12,13.06,266.5,2025,2.46
N/A,8477.TWO,N/A,-38.4,-0.62,106.5,80.0,-51.54,創業家,🧐 疑業外收益,53.77,0.0,⚪ 數據不足,2025-12,-0.92,16.3500003815,2025,-52.73
26.51%,2501.TW,17.13%,94.35,1.91,106.29,127.38,7.39,國建,🚀 利潤擴張,108.09,3.553259202146264,💎 強力關注,2025-12,2.83,22.3500003815,2025,1.8
N/A,6465.TWO,N/A,-14.549999999999999,-0.75,104.65,29.25,5.09,威潤,🔄 轉虧為盈,168.25,0.0,⚪ 數據不足,2025-12,0.86,52.5,2025,63.6
19.12%,3135.TW,16.62%,131.09999999999997,1.5,103.75999999999999,-29.03,34.74,凌航,🚀 利潤擴張,143.64,22.368421052631582,⚠️ 追價風險,2025-12,6.33,195.5,2025,39.88
N/A,6150.TWO,N/A,79.8,1.55,102.95,156.36,77.79,撼訊,🚀 利潤擴張,164.15,12.76315818156015,✅ 穩健價值,2025-12,2.63,67.9000015259,2025,61.2
10.44%,2465.TW,2.26%,19.2,0.09,101.99,102.43,32.51,麗臺,🚀 利潤擴張,107.41,64.92187380789063,⚠️ 追價風險,2025-12,0.43,83.0999984741,2025,5.42
40.82%,2926.TWO,-1.48%,19.05,0.34,98.16,241.67,2.58,誠品生活,🚀 利潤擴張,100.0,28.70078800228346,⚠️ 追價風險,2025-12,0.54,36.4500007629,2025,1.84
19.55%,1541.TW,7.07%,65.7,1.32,97.42,41.94,28.08,錩泰,🚀 利潤擴張,118.87,4.737442922374429,💎 強力關注,2025-12,2.32,20.75,2025,21.45
24.41%,2380.TW,0.24%,29.099999999999998,0.47,96.7,133.57,9.38,虹光,🚀 利潤擴張,110.31,3.077319479484536,💎 強力關注,2025-12,0.72,5.9699997902,2025,13.61
N/A,4971.TWO,N/A,-7.0500000000000025,0.09,96.47999999999999,103.17,54.63,IET-KY,🚀 利潤擴張,146.97,0.0,⚪ 數據不足,2025-12,1.65,718.0,2025,50.49
N/A,5516.TWO,N/A,-7.35,0.34,96.02000000000001,116.43,7.31,雙喜,🚀 利潤擴張,104.43,0.0,⚪ 數據不足,2025-12,0.16,11.0,2025,8.41
12.43%,3363.TWO,-9.15%,10.65,0.37,95.32,317.65,49.52,上詮,🚀 利潤擴張,134.04,1152.112676056338,⚠️ 追價風險,2025-12,0.16,818.0,2025,38.72
