date,eps_yoy,gm,rev_yoy,advice,expansion,eps,prev_eps,prev_eps_yoy,prev_rev_yoy,om,name,prev_year,pe,symbol,status,price,est_price
2025-12,134.62,N/A,26.06,⚪ 數據不足,108.56,0.54,-0.37,50.67,17.8,N/A,佳龍,2025,0.0,9955.TW,🔄 轉虧為盈,29.8500003815,-5.399999999999999
2025-12,110.31,N/A,2.46,✅ 穩健價值,107.85000000000001,13.06,3.47,-46.86,-15.55,N/A,十銓,2025,15.978552278820374,4967.TW,🚀 利潤擴張,298.0,279.75000000000006
2025-12,53.77,N/A,-52.73,⚪ 數據不足,106.5,-0.92,-0.62,80.0,-51.54,N/A,創業家,2025,0.0,8477.TWO,🧐 疑業外收益,13.6499996185,-38.4
2025-12,108.09,26.51%,1.8,💎 強力關注,106.29,2.83,1.91,127.38,7.39,17.13%,國建,2025,3.6565977742448332,2501.TW,🚀 利潤擴張,23.0,94.35
2025-12,168.25,N/A,63.6,⚪ 數據不足,104.65,0.86,-0.75,29.25,5.09,N/A,威潤,2025,0.0,6465.TWO,🔄 轉虧為盈,47.75,-14.549999999999999
2025-12,143.64,19.12%,39.88,⚪ 中性觀察,103.75999999999999,6.33,1.5,-29.03,34.74,16.62%,凌航,2025,20.25171624713959,3135.TW,🚀 利潤擴張,177.0,131.09999999999997
2025-12,164.15,N/A,61.2,✅ 穩健價值,102.95,2.63,1.55,156.36,77.79,N/A,撼訊,2025,13.327067955996242,6150.TWO,🚀 利潤擴張,70.9000015259,79.8
2025-12,107.41,10.44%,5.42,⚠️ 追價風險,101.99,0.43,0.09,102.43,32.51,2.26%,麗臺,2025,62.890625,2465.TW,🚀 利潤擴張,80.5,19.2
2025-12,100.0,40.82%,1.84,⚠️ 追價風險,98.16,0.54,0.34,241.67,2.58,-1.48%,誠品生活,2025,29.291339183385823,2926.TWO,🚀 利潤擴張,37.2000007629,19.05
2025-12,118.87,19.55%,21.45,💎 強力關注,97.42,2.32,1.32,41.94,28.08,7.07%,錩泰,2025,5.342465666324201,1541.TW,🚀 利潤擴張,23.3999996185,65.7
2025-12,110.31,24.41%,13.61,💎 強力關注,96.7,0.72,0.47,133.57,9.38,0.24%,虹光,2025,2.886597888969072,2380.TW,🚀 利潤擴張,5.5999999046,29.099999999999998
2025-12,146.97,N/A,50.49,⚪ 數據不足,96.47999999999999,1.65,0.09,103.17,54.63,N/A,IET-KY,2025,0.0,4971.TWO,🚀 利潤擴張,688.0,-7.0500000000000025
2025-12,104.43,N/A,8.41,⚪ 數據不足,96.02000000000001,0.16,0.34,116.43,7.31,N/A,雙喜,2025,0.0,5516.TWO,🚀 利潤擴張,10.6999998093,-7.35
2025-12,134.04,12.43%,38.72,⚠️ 追價風險,95.32,0.16,0.37,317.65,49.52,-9.15%,上詮,2025,1140.8450704225352,3363.TWO,🚀 利潤擴張,810.0,10.65
2025-12,191.99,N/A,96.69,⚠️ 追價風險,95.30000000000001,16.13,10.13,167.2,94.38,N/A,竹陞科技,2025,38.195445373306434,6739.TWO,🚀 利潤擴張,1325.0,520.3499999999999
