expansion,eps_yoy,est_price,date,prev_rev_yoy,prev_eps,prev_eps_yoy,symbol,rev_yoy,price,advice,eps,pe,name,om,gm,prev_year,status
19.539999999999964,470.83,24.599999999999998,2026-03,0.56,0.76,-11.63,6015.TWO,451.29,17.3999996185,💎 強力關注,0.89,10.609755864939025,宏遠證,N/A,N/A,2025,🚀 利潤擴張
18.900000000000002,45.71,-30.900000000000002,2026-03,-8.35,-0.61,-134.86,5202.TWO,26.81,14.5,⚪ 數據不足,-0.19,0.0,力新,N/A,N/A,2025,🚀 利潤擴張
18.060000000000002,41.03,70.8,2026-03,4.06,1.9,13.1,2880.TW,22.97,36.9000015259,💎 強力關注,0.55,7.8177969334533906,華南金,45.93%,97.25%,2025,🏰 高護城河
17.97999999999999,234.78,9.75,2026-03,13.9,0.81,35.0,3581.TWO,216.8,141.0,⚠️ 追價風險,0.31,216.9230769230769,博磊,8.13%,31.93%,2025,🚀 利潤擴張
17.229999999999997,33.33,25.200000000000003,2026-03,14.52,0.68,28.3,2836.TW,16.1,12.25,💎 強力關注,0.2,7.291666666666666,高雄銀,32.37%,89.95%,2025,🏰 高護城河
15.160000000000025,331.43,11.999999999999998,2026-03,25.43,0.15,107.11,4991.TWO,316.27,507.0,⚠️ 追價風險,1.67,633.75,環宇-KY,N/A,N/A,2025,🚀 利潤擴張
12.35,10.53,0.0,2026-03,10.14,2.91,14.12,7819.TWO,-1.82,39.4500007629,⚪ 數據不足,0.42,0.0,精誠金融,N/A,N/A,2025,🧐 疑業外收益
12.0,34.04,57.14999999999999,2026-03,-12.26,1.74,-10.99,2883.TW,22.04,29.8999996185,💎 強力關注,0.69,7.847768928740159,凱基金,39.14%,78.38%,2025,🏰 高護城河
10.350000000000001,52.29,-109.2,2026-03,-0.97,-2.92,-14.12,6657.TW,41.94,34.9000015259,⚪ 數據不足,-0.53,0.0,華安,N/A,N/A,2025,🚀 利潤擴張
9.14,29.13,947.7,2026-03,6.74,25.6,4.19,3529.TWO,19.99,2925.0,⚠️ 追價風險,7.98,46.2962962962963,力旺,60.64%,100.00%,2025,🏰 高護城河
8.629999999999995,283.33,-14.25,2026-03,-8.31,-0.43,-53.57,1236.TW,274.7,25.7999992371,⚪ 數據不足,0.23,0.0,宏亞,-4.59%,24.77%,2025,🔄 轉虧為盈
7.890000000000015,153.49,-89.10000000000001,2026-03,-15.19,-3.35,-827.91,1598.TW,145.6,19.2000007629,⚪ 數據不足,0.25,0.0,岱宇,-13.99%,27.77%,2025,🔄 轉虧為盈
7.82,56.0,136.05,2026-03,15.86,4.66,24.93,8272.TWO,48.18,69.5,✅ 穩健價值,0.39,7.662624035281146,全景軟體,N/A,N/A,2025,🚀 利潤擴張
7.48,37.5,13.5,2026-03,-2.15,0.38,-7.32,2901.TW,30.02,23.6499996185,⚠️ 追價風險,0.11,26.27777735388889,欣欣,20.24%,84.77%,2025,🏰 高護城河
5.7299999999999995,-5.56,0.0,2026-03,-3.6,-0.92,14.95,4178.TWO,-11.29,0.0,⚪ 數據不足,-0.19,0.0,未知,N/A,N/A,2025,🌑 雙重衰退
5.7299999999999995,-5.56,0.0,2026-03,-3.6,-0.92,14.95,4178.TW,-11.29,17.6000003815,⚪ 數據不足,-0.19,0.0,永笙-KY,N/A,N/A,2025,🌑 雙重衰退
5.1200000000000045,114.29,63.6,2026-03,-3.57,0.99,-38.13,6195.TWO,109.17,24.6499996185,✅ 穩健價值,1.5,5.813679155306604,詩肯,N/A,N/A,2025,🚀 利潤擴張
4.100000000000001,16.67,91.94999999999999,2026-03,-1.77,2.36,0.85,2886.TW,12.57,46.1500015259,✅ 穩健價值,0.63,7.528548372903754,兆豐金,33.61%,83.45%,2025,🏰 高護城河
3.8000000000000025,16.67,7.35,2026-03,13.2,0.25,41.18,3094.TW,12.87,39.7000007629,⚠️ 追價風險,0.07,81.02040972020407,聯傑,-7.29%,73.82%,2025,🏰 高護城河
3.490000000000009,300.0,-22.2,2026-03,-8.05,-0.43,-326.32,4939.TWO,296.51,60.7000007629,⚪ 數據不足,0.24,0.0,亞電,N/A,N/A,2025,🔄 轉虧為盈
