expansion,name,eps,gm,status,prev_year,symbol,om,prev_rev_yoy,est_price,eps_yoy,rev_yoy,date,pe,prev_eps_yoy,price,prev_eps,advice
374.26,宏洲,0.45,2.52%,🧐 疑業外收益,2025,1413.TW,0.23%,-6.34,16.499999999999996,364.71,-9.55,2025-12,8.863636363636365,326.32,9.75,0.43,💎 強力關注
371.81,雙鍵,1.22,23.49%,🚀 利潤擴張,2025,4764.TW,7.74%,6.23,38.849999999999994,377.27,5.46,2025-12,84.16988416988417,187.32,218.0,0.62,⚠️ 追價風險
370.34000000000003,同亨,1.69,N/A,🚀 利潤擴張,2025,5490.TWO,N/A,13.03,68.4,382.35,12.01,2025-12,5.800438763793859,916.67,26.4500007629,1.26,💎 強力關注
364.75,新天地,0.55,N/A,🧐 疑業外收益,2025,8940.TW,N/A,-10.3,42.0,358.33,-6.42,2025-12,6.017857279107143,103.23,16.8500003815,0.02,💎 強力關注
356.99,倚強科,1.52,69.49%,🏰 高護城河,2025,3219.TWO,-15.39%,43.11,59.699999999999996,406.67,49.68,2025-12,15.402009858567842,179.66,61.2999992371,1.65,✅ 穩健價值
327.09,友達,0.9,10.73%,🚀 利潤擴張,2025,2409.TW,-2.70%,-0.15,38.1,327.5,0.41,2025-12,6.830708811614173,185.25,17.3500003815,0.52,💎 強力關注
316.98,冠星-KY,7.73,15.60%,🚀 利潤擴張,2025,4439.TW,0.97%,30.37,321.90000000000003,346.24,29.26,2025-12,4.613233923578751,114.76,99.0,7.71,💎 強力關注
289.09,映泰,0.15,8.40%,🔄 轉虧為盈,2025,2399.TW,-12.67%,-14.04,-2.7000000000000006,275.0,-14.09,2025-12,0.0,-222.22,41.3499984741,-0.11,⚪ 數據不足
281.70000000000005,宏達電,7.21,34.44%,🧐 疑業外收益,2025,2498.TW,-79.17%,-0.73,359.25,275.85,-5.85,2025-12,1.6597077244258873,352.24,39.75,7.88,💎 強力關注
281.08,美利達,4.01,N/A,🧐 疑業外收益,2025,9914.TW,N/A,-8.55,194.10000000000002,271.37,-9.71,2025-12,4.420401913670788,-18.34,57.2000007629,4.81,💎 強力關注
275.27,浪凡,4.02,N/A,🚀 利潤擴張,2025,6165.TW,N/A,12.63,0.0,288.24,12.97,2025-12,0.0,410.34,0.0,3.02,⚪ 數據不足
273.68,大銀微系統,2.01,38.42%,🚀 利潤擴張,2025,4576.TW,13.23%,19.84,65.55,294.12,20.44,2025-12,41.41876430205949,447.83,181.0,1.26,⚠️ 追價風險
255.45000000000002,冠西電,0.25,-4.21%,🧐 疑業外收益,2025,2466.TW,-53.06%,-6.66,-8.100000000000001,241.18,-14.27,2025-12,0.0,230.67,53.2999992371,0.98,⚪ 數據不足
254.79,華榮,5.5,9.17%,🚀 利潤擴張,2025,1608.TW,6.96%,-0.36,174.45,254.81,0.02,2025-12,2.7987961510834056,241.94,32.5499992371,4.75,💎 強力關注
250.24,中纖,0.09,41.46%,🧐 疑業外收益,2025,1718.TW,18.72%,4.96,3.9000000000000004,250.0,-0.24,2025-12,25.346154433076922,-11.76,6.5900001526,0.19,⚠️ 追價風險
241.22,有成精密,1.91,N/A,🧐 疑業外收益,2025,4949.TW,N/A,-1.75,68.25,240.74,-0.48,2025-12,18.94505427432967,180.87,86.1999969482,1.48,⚪ 中性觀察
229.07999999999998,三地開發,1.74,29.82%,🔄 轉虧為盈,2025,1438.TW,25.89%,-98.23,-2.4000000000000004,237.01,7.93,2025-12,0.0,10.89,24.5499992371,-0.9,⚪ 數據不足
227.67000000000002,怡華,3.41,46.73%,🔄 轉虧為盈,2025,1456.TW,248.16%,-26.31,22.050000000000004,207.21,-20.46,2025-12,9.081632912585032,15.89,13.3500003815,-0.9,💎 強力關注
224.23000000000002,晶相光,1.74,31.94%,🚀 利潤擴張,2025,3530.TW,14.09%,-5.41,31.349999999999998,230.83,6.6,2025-12,30.000000365023922,-50.0,62.7000007629,0.47,⚠️ 追價風險
213.63,允強,0.21,5.45%,🧐 疑業外收益,2025,2034.TW,-1.87%,-4.98,14.399999999999999,200.0,-13.63,2025-12,20.989582935937502,94.12,20.1499996185,0.33,⚪ 中性觀察
204.79,松瑞藥,1.72,30.12%,🧐 疑業外收益,2025,4167.TWO,9.56%,-6.23,83.1,203.51,-1.28,2025-12,3.483754374927798,237.21,19.2999992371,1.43,💎 強力關注
203.79,皇將,2.51,42.43%,🚀 利潤擴張,2025,4744.TWO,14.38%,14.04,66.44999999999999,216.0,12.21,2025-12,7.031602622686231,400.0,31.1499996185,1.0,💎 強力關注
201.66000000000003,GOGOLOOK,1.58,N/A,🚀 利潤擴張,2025,6902.TW,N/A,20.7,31.349999999999998,222.58,20.92,2025-12,53.588516746411486,119.47,112.0,0.23,⚠️ 追價風險
200.22,楠梓電,13.38,5.71%,🚀 利潤擴張,2025,2316.TW,-7.46%,8.72,468.90000000000003,212.47,12.25,2025-12,3.7747920665387076,260.07,118.0,10.81,💎 強力關注
199.70999999999998,金穎生技,0.7,31.84%,🚀 利潤擴張,2025,1796.TWO,10.64%,36.52,20.249999999999996,229.63,29.92,2025-12,28.29629686140741,150.0,38.2000007629,0.31,⚠️ 追價風險
197.42,東研信超,1.58,N/A,🚀 利潤擴張,2025,6840.TWO,N/A,5.51,51.15,205.88,8.46,2025-12,20.23460410557185,76.12,69.0,1.18,⚪ 中性觀察
